"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TCAIM",21.226429429808,1.91201770309339,0.43550090240349,4.39038746542462,1.13148861212211e-05,0.000868715269964802
"TNFRSF12A",75.5467079575681,-1.08198537833047,0.24668184147014,-4.38615737535526,1.15370663036247e-05,0.000879984076884317
"CYTH1",43.063523987665,1.44117371648604,0.330755472641051,4.35721805289693,1.31726020148451e-05,0.000998209516319758
"ARHGEF2",151.934396375842,-0.673528335872878,0.15525696144277,-4.33815224524506,1.43685612065784e-05,0.00107984469939541
"BAZ2A",156.625077191229,0.734328128589474,0.169311647181182,4.33713888450722,1.44349419970595e-05,0.00107984469939541
"MBOAT1",22.4734212936395,1.76861013997139,0.408578703347291,4.32868900283351,1.49999573474141e-05,0.00111496498244792
"IL11",35.5611621760557,-1.28519984286436,0.297040691876829,-4.32667940120905,1.51374036642682e-05,0.00111806013140513
"NEDD4L",136.842226491765,-0.932639116907613,0.216001808563486,-4.31773753706092,1.5763672150407e-05,0.00115670674051291
"SLAMF8",6.49870803502454,5.53181887534026,1.28182742589466,4.31557225535199,1.59189969454126e-05,0.00115670674051291
"VPS9D1",27.2205438135631,1.55705430914111,0.360844226482839,4.31503179174508,1.59579935923375e-05,0.00115670674051291
"SSTR2",11.2188890832164,5.31377227570086,1.23522897362154,4.30185203648642,1.69376406986783e-05,0.00122013745033072
"DCBLD2",739.117464025025,-0.646017016623243,0.150842591039646,-4.28272288463575,1.84620045686994e-05,0.00132178891605351
"MAP1A",16.3727757800486,2.24835689201843,0.525549833912343,4.27810408630713,1.88491883116883e-05,0.00134128065608172
"FOSL1",117.072709400505,-0.909768653352524,0.212807659188121,-4.27507476386595,1.91073164801325e-05,0.00135140838377664
"HECW2",12.541099286008,3.17118517802555,0.744834347443315,4.25757108128917,2.06659962412542e-05,0.00145284443455083
"PLSCR1",122.438144317993,0.906856064959359,0.21339424360035,4.24967445072109,2.14081425883313e-05,0.00149600613177142
"RP11-395G23.3",49.7676575196121,1.16303035270244,0.274864321652683,4.23128889813511,2.32356004322115e-05,0.00161404438716612
"LENG8",18.9093823138315,2.03616297821849,0.481806931842107,4.22609730921381,2.37779199165534e-05,0.00164194275400105
"CCDC71L",19.0070667017853,2.08943941990765,0.495711603872532,4.2150302788654,2.4974467990815e-05,0.00171442377325183
"EXTL2",122.000205760852,0.763695620560942,0.181583198231849,4.2057614801224,2.60204549076416e-05,0.00177578192264432
"PGS1",32.2739236586606,1.38611754697599,0.330079889798525,4.199339583584,2.67694600387936e-05,0.00181627673635303
"RHOJ",5.92958638909345,5.40617230761031,1.29051837546111,4.18914787298449,2.80003903209047e-05,0.00188881245690727
"FNBP4",127.7487997159,0.805231173096357,0.192899886713419,4.17434756865694,2.98841227451442e-05,0.00200429719790708
"HELZ2",30.6219572812083,1.44231078944167,0.346296941816393,4.16495387419964,3.11415518764504e-05,0.00207669663084672
"PDP1",97.6213039751165,0.837025046314845,0.20103581008282,4.16356193441366,3.13320984950151e-05,0.00207753175816378
"TRPS1",58.2511214981167,1.34583483647141,0.323531234812836,4.15982969078699,3.184849878488e-05,0.00209984169954548
"TBX3",36.6531314446278,1.38576655657272,0.334610691176013,4.1414294077166,3.45148102917516e-05,0.00226285301182439
"JUNB",90.4649720226201,0.984145593267539,0.237782665539572,4.13884498701507,3.49058687559664e-05,0.0022757066390063
"PPP1R3D",22.0673622755963,1.74376216730507,0.421661069339689,4.13545924463875,3.54245483209591e-05,0.00229669154947552
"CAPN15",141.95303311953,0.721101321561083,0.174689655654966,4.12789938166315,3.66092230980805e-05,0.00234741556898132
"PIP4K2A",114.61755798942,0.83524200705524,0.202315444778493,4.12841445678907,3.65273281672435e-05,0.00234741556898132
"MB21D2",49.4312685210491,1.26281389708787,0.306155502888472,4.12474668974966,3.71143004596225e-05,0.00236679719324478
"C5orf56",13.852559524339,2.45353163859221,0.601074219794833,4.0819112811554,4.46668486230747e-05,0.00281763309962855
"CLK1",33.3903537457348,1.45227654682404,0.35576279949742,4.08214841145742,4.46212858994618e-05,0.00281763309962855
"SPDL1",185.848350607206,-0.728598403541415,0.1792069765366,-4.0656810221482,4.78924031874346e-05,0.00297554831715726
"TAF13",153.104552798965,-0.705480506439167,0.173511168619628,-4.06590833346138,4.78457406670847e-05,0.00297554831715726
"TCF7L2",104.063581132041,0.808967070420576,0.199015273557153,4.06484917444419,4.80635332026144e-05,0.00297554831715726
"ZNF689",66.467828303986,1.07760868965863,0.265144242202893,4.06423568056977,4.81901141339094e-05,0.00297554831715726
"SHROOM2",19.4932075156014,-1.59036593960432,0.391603845130646,-4.06116017342411,4.88294551006367e-05,0.00299915653170753
"IFI35",12.2342713977633,2.8789615160823,0.711223907503222,4.04789755477849,5.1679755443779e-05,0.00315760600015132
"EHD1",102.011223671428,-0.804938414505183,0.199450082965386,-4.03578881762049,5.44191494171717e-05,0.00330130655923165
"SNTB2",146.418167555109,0.72737166496214,0.180264659756153,4.03502087400862,5.4597443524568e-05,0.00330130655923165
"RGS17",47.748650316829,1.23322174077995,0.307030331784502,4.01661208393418,5.90407897725924e-05,0.00355157740539254
"CLU",187.797499565,0.621015875021392,0.154718390742282,4.01384652491528,5.9737196335718e-05,0.00357504144224527
"RRAGC",158.950051008556,0.687912078012336,0.172064176374533,3.99799709914605,6.38807338987265e-05,0.00380351104386805
"C1R",11.7567319767786,3.10404860633307,0.777588580015298,3.99189068115172,6.55485902404626e-05,0.00388300532033603
"MT-TH",23.303723932099,1.99183096681811,0.499538097128237,3.9873454662794,6.68166976786311e-05,0.00393813566621023
"SOD2",130.98672699519,0.694214022877386,0.174643891867008,3.97502606850992,7.03715476005779e-05,0.00412681387185298
"LUC7L3",615.761554786414,0.49064414578427,0.123568585098786,3.97062202656142,7.1685228653889e-05,0.00418283309195442
"TES",111.942889134514,-0.715440464213544,0.180716781116441,-3.95890442378213,7.52943582674119e-05,0.00437156796507809
"SHC4",31.4824478600579,1.3621518096841,0.34545007735738,3.94312202823711,8.04277054143228e-05,0.00464649169398588
"LRRTM2",5.00506606217645,5.15112906575505,1.30832167211141,3.93720380511775,8.24365896750578e-05,0.00471585785052904
"ZC3HAV1",186.609732257375,0.777705216982789,0.197482271882403,3.93810142839503,8.21288787413334e-05,0.00471585785052904
"CCNL1",129.351365968109,0.778021695684663,0.197752542362116,3.93431956116136,8.34327189269149e-05,0.0047265040285296
"MCC",18.6540517007731,1.82030453640576,0.462613209556811,3.93483043458624,8.32554539362242e-05,0.0047265040285296
"KCTD3",87.903096947876,0.849674205577772,0.216518817899708,3.92425108274581,8.69999616099324e-05,0.00490478044438604
"IL1B",29.2730480011568,-1.27407952900333,0.325289685055499,-3.91675355087253,8.97494153695891e-05,0.00503545998732262
"USP42",41.2458396525457,1.11185278925338,0.284171249546286,3.91261533680339,9.13019072589865e-05,0.0050980538646525
"THSD1",21.7376764561799,1.63281172433379,0.417513886742236,3.91079620626332,9.19923677943132e-05,0.00511214729599826
