"","baseMean","log2FoldChange","pvalue","padj"
SPATA18,2161.93264480378,-0.575637124617937,4.76625166957837e-09,2.67882797918752e-07
LMO7,4338.87274405789,0.518313438720084,4.85569733608838e-09,2.71800619178606e-07
KIF1C,3142.3911402829,0.562525802830095,4.98205796752791e-09,2.77744689120888e-07
LMNA,3281.78895195974,0.608136297200466,5.12207020846607e-09,2.84398817623298e-07
SCRIB,951.819293897907,0.713743280454811,5.35560403625576e-09,2.96171355739927e-07
GNB2,3188.17615348638,0.66978450214049,5.53643387295615e-09,3.04946777722425e-07
EPN3,1141.55930031384,0.753751181109318,5.55868544670238e-09,3.04952584068095e-07
CLU,6694.49552996378,0.51463214450201,5.65175398419338e-09,3.08827985564852e-07
BAG3,2046.45861622082,0.578014496231299,5.96872628532736e-09,3.24859134185604e-07
SMYD2,1164.03288600551,-0.710647320694458,5.99620186386061e-09,3.25069683721892e-07
C7orf57,407.076680744982,-0.965843084073738,6.13161483704945e-09,3.3110720120067e-07
CYP4B1,4962.08596971368,0.53343344389002,6.16441303965481e-09,3.31577998265808e-07
FAM129B,3330.3863871806,0.532564371944679,6.76034562133131e-09,3.62217740100125e-07
DNAH3,1110.79988514695,-0.720556559776948,7.09530835496262e-09,3.78691457549749e-07
SEPT9,5999.5189084828,0.533413235944681,7.14762578055282e-09,3.80010837830936e-07
SLC37A2,318.513336962816,-0.994425036252009,7.19958064249701e-09,3.81300867104553e-07
LLGL2,1017.18268712003,0.676137530645447,7.32522702178522e-09,3.86468873907979e-07
FAAH2,825.10150883556,-0.779692855443117,7.54162771037462e-09,3.96367227373506e-07
TNFAIP3,1005.84311266157,-0.697548826519001,7.69802802734148e-09,4.03048843864989e-07
CCDC18,181.726394495939,-1.32330542691664,7.78714674283256e-09,4.06170494881835e-07
ATP6V0A1,576.669093284361,0.792347244878275,7.83969802645614e-09,4.07368459714343e-07
RARRES3,616.329904945172,0.825335030973723,7.99240511397941e-09,4.13742174509385e-07
EIF4A3,1552.19811430508,0.614078648460848,8.16752895319950e-09,4.21224246013322e-07
SLC26A4,152.583870951322,-1.38660162692631,8.57408701097556e-09,4.40541709481841e-07
ENO1,23727.920282851,0.506949032018502,9.5397441972323e-09,4.88335604445683e-07
ABLIM3,2032.14331030631,0.601739149969835,1.00632222223892e-08,5.13224333341847e-07
MYCBPAP,61.3206102747423,-2.2712450264481,1.03031113012631e-08,5.23519714459016e-07
DDX17,16172.687991444,-0.513963333423718,1.0908513672291e-08,5.52243504659732e-07
SENP7,490.529580515602,-0.837329566529449,1.09915521396397e-08,5.54409058471938e-07
RBL2,2176.61811126925,-0.637196221397182,1.1077607567208e-08,5.56710424089247e-07
GPRC5A,12932.2924041266,0.533034885026266,1.11376912284546e-08,5.57694575330251e-07
NPHP1,706.641436397431,-0.783825635043029,1.12152991639791e-08,5.59545903942001e-07
CASC5,158.838441826723,-1.33511853783705,1.15852788304881e-08,5.75918012620291e-07
STK36,808.205793178945,-0.743496209269145,1.19073938492903e-08,5.89801486707653e-07
ATP5D,420.365417256873,0.991211730093346,1.26876705669e-08,6.26197934430869e-07
RNF187,1385.74342304057,0.634857701575784,1.29501603358199e-08,6.36870385086572e-07
NEK2,782.759308696879,-0.933083166081225,1.4492126398029e-08,7.10165766906971e-07
HIST1H2AC,495.910830336676,-0.905690362665824,1.4638739580102e-08,7.14104333556526e-07
STARD4,1252.67373802507,-0.621493270973021,1.46762183294479e-08,7.14104333556526e-07
SPON2,960.657097459593,0.778983294396012,1.53695564332077e-08,7.45207014384755e-07
C6orf132,1386.66319534886,0.661736587443074,1.61272875401558e-08,7.79202629571737e-07
CXCL2,164.875739474733,-1.31180851030264,1.65319061987072e-08,7.95959259986707e-07
SLC9A3R2,1052.29384021746,0.676537608201766,1.69115602256786e-08,8.1036034680166e-07
SLC25A36,1909.99766156655,-0.716343605992581,1.6948713135721e-08,8.1036034680166e-07
SLC9A1,1302.52290914121,0.639193510725308,1.83344460006069e-08,8.73582427087739e-07
TTC21A,550.636691043826,-0.800544917105162,1.88303700545523e-08,8.94117916038571e-07
CEACAM5,524.132080383276,0.796121765921448,2.02446217004826e-08,9.5796715056923e-07
CYP2S1,515.412642248767,0.902244738361969,2.11572487912625e-08,9.97723684437275e-07
ANXA11,6201.38923766363,0.499039717575909,2.19028530251111e-08,1.02935933841563e-06
WBSCR16,829.284085984076,0.689645642172707,2.24218174387743e-08,1.05016471473443e-06
PRKD2,663.471945590521,0.740952378689038,2.31736260163836e-08,1.08169772964611e-06
FTH1,4748.66590067462,0.550109876034304,2.43832735223419e-08,1.12933304554072e-06
ITGB4,3681.11649782608,0.540284944671041,2.44139236509019e-08,1.12933304554072e-06
KRT23,1219.8665541075,0.792052617464641,2.4497657143686e-08,1.12933304554072e-06
PARM1,2160.04006319982,-0.583672077903861,2.45221917659169e-08,1.12933304554072e-06
SERPINA1,288.106035295674,-1.05292604184608,2.47124822953186e-08,1.13430293735512e-06
SH3BGRL3,2217.05956226862,0.604976221696417,2.56678012699895e-08,1.17423795178656e-06
TJP3,1524.76121692375,0.604768489278337,2.62483323671676e-08,1.19681965793344e-06
MT-ND6,1084.8875405637,0.639447701101668,2.73498314964141e-08,1.24292798582714e-06
MROH9,336.822790652563,-0.935126101202566,2.7554073359834e-08,1.24672004766619e-06
NABP2,270.571305099416,1.04872275086437,2.76143510920978e-08,1.24672004766619e-06
